RSG-07-005-01,Cited by: 52  Impact Factor: 4.187,Cited by: 43  Impact Factor: 8.278,Cited by: 67  Impact Factor: 8.278
RSGM-10-189-01-TBE,Cited by: 0  Impact Factor: -,Cited by: 0  Impact Factor: 2.234
RSG-04-019-01-CNE,Cited by: 45  Impact Factor: 5.87
RPG-98-046-01-CCG,Cited by: 80  Impact Factor: 10.822
IRG-84-002-22,Cited by: 18  Impact Factor: 6.337
RSG-00-339CSM,Cited by: 275  Impact Factor: 6.68
RSG-09-209 to K.L,Cited by: 14  Impact Factor: -
IRG-98-279-07,Cited by: 6  Impact Factor: 5.621,Cited by: 0  Impact Factor: 5.621
PF-01-092-01-CSM,Cited by: 112  Impact Factor: 10.822,Cited by: 39  Impact Factor: 10.822
IRG-84-002-28,Cited by: 4  Impact Factor: 10.822
RSG-11-175-01-RMC,Cited by: 30  Impact Factor: 38.597
RSG-09-091-01-CSM,Cited by: 1  Impact Factor: 2.927
RSG-08-116-01-CCE,Cited by: 16  Impact Factor: 2.09
RSG-07-082-01-MGO,Cited by: 7  Impact Factor: -
RSG-04-179-01-DDC,Cited by: 10  Impact Factor: 4.604
RSG-10-252-01-TBG,Cited by: 7  Impact Factor: 5.082
IRG-83-006,Cited by: 25  Impact Factor: 3.2
DSW-0321301-SW,Cited by: 24  Impact Factor: 3.57
RSG-12-187-01-RMC,Cited by: 0  Impact Factor: 2.464
CCCDA-02-221-01,Cited by: 14  Impact Factor: 2.761
RSG-11-121-01-CCG,Cited by: 3  Impact Factor: 20.767
PF-4477,Cited by: 126  Impact Factor: 13.214
PF-06-108-01-CCG,Cited by: 92  Impact Factor: 10.822
RSG-02-066-01-MGO,Cited by: 5  Impact Factor: 8.278
RPG-98-036-01-CIM,Cited by: 188  Impact Factor: 13.214
RSG-03-137-01-CDD,Cited by: 9  Impact Factor: 5.082,Cited by: 13  Impact Factor: 3.33
IN-105,Cited by: 77  Impact Factor: 13.214
CB-84,Cited by: 200  Impact Factor: 10.822
IRG-57-001-53,Cited by: 0  Impact Factor: 6.636
PF CPHPS-112124,Cited by: 29  Impact Factor: 1.66
DB-97,Cited by: 43  Impact Factor: 10.822
RSG CCE-108980,Cited by: 14  Impact Factor: 5.87
CNE-111611,Cited by: 41  Impact Factor: 7.357
PF-11-151-01-LIB,Cited by: 2  Impact Factor: 2.945
MRSGT-09-007-01-CPPB,Cited by: 1  Impact Factor: 1.303
RSG-02-162-01-GMC,Cited by: 6  Impact Factor: -
RSG-07-075-01,Cited by: 13  Impact Factor: 4.604
CCCDA-05-162-01,Cited by: 70  Impact Factor: 1.61
RSG-01-147-01-CSM,Cited by: 205  Impact Factor: 10.822
MRSG-08-108-01,Cited by: 3  Impact Factor: 1.19,Cited by: 13  Impact Factor: 7.701
RSG-10-073-01-TBG,Cited by: 3  Impact Factor: -
RSG-06-066-01-MGO,Cited by: 25  Impact Factor: 2.509
RSG-06-110-1-CCG,Cited by: 35  Impact Factor: 10.822
RSG-01-080-01-LIB,Cited by: 314  Impact Factor: 13.214
PFM-11-137-01-DDC,Cited by: 2  Impact Factor: -
PF-11-068-01-TBE,Cited by: 3  Impact Factor: 10.822
RSG-12-175-01,Cited by: 0  Impact Factor: 4.4
PF-11-077-01-CDD,Cited by: 8  Impact Factor: 7.357
IRG 91-021-08,Cited by: 147  Impact Factor: 10.822
RSG-05-207-01-TBE,Cited by: 41  Impact Factor: -
RSG-13-099-01-CCE,Cited by: 0  Impact Factor: 2.927,Cited by: 0  Impact Factor: 7.806,Cited by: 2  Impact Factor: 7.806
PF-06-143-01-DDC,Cited by: 130  Impact Factor: 10.822
MRSGT-08-013-01-CPPB,Cited by: 0  Impact Factor: 1.585
PF-4220,Cited by: 40  Impact Factor: 13.214
CNE-117557,Cited by: 19  Impact Factor: 2.464
RSG-12-013-01-CCG,Cited by: 7  Impact Factor: -,Cited by: 91  Impact Factor: 8.278
SIOP-06-258-01-COUN,Cited by: 10  Impact Factor: 10.015
ACS TURSG-01,Cited by: 83  Impact Factor: 3.58
RSG-06-179-01-MBC,Cited by: 24  Impact Factor: 8.278
PF-10-183-01-TBE,Cited by: 23  Impact Factor: 12.948
RSG-03-086-01,Cited by: 1  Impact Factor: 3.33
PF-07-258-01-CSM,Cited by: 12  Impact Factor: 15.251,Cited by: 53  Impact Factor: 38.597
PF-01-142-01-CCG,Cited by: 55  Impact Factor: 8.278
CA-98-267,Cited by: 656  Impact Factor: 10.822
MRSG-10-110-01-CPPB,Cited by: 3  Impact Factor: -
IM-726,Cited by: 28  Impact Factor: 13.214
PF-04-087-01-LIB,Cited by: 100  Impact Factor: 13.214
IRG-58-007-51,Cited by: 1  Impact Factor: 7.806
PF-06-254-01-CCG,Cited by: 2  Impact Factor: 10.822
RSG-08-068-01,Cited by: 36  Impact Factor: 26.199,Cited by: 76  Impact Factor: 13.214
RSG DDC-112979,Cited by: 119  Impact Factor: 38.597
#85-001-13-IRG,Cited by: 22  Impact Factor: 2.8
RSG-05-116-01-CSM,Cited by: 6  Impact Factor: -,Cited by: 7  Impact Factor: 2.518
IRG-01-188-04,Cited by: 6  Impact Factor: -
RSG-99-153-04-CDD,Cited by: 55  Impact Factor: 8.278
RSG0806801 to I.A.,Cited by: 237  Impact Factor: 24.302
RSG-08-133-01-CDD,Cited by: 3  Impact Factor: -
PF-08-158-01,Cited by: 31  Impact Factor: 20.767
RSG-04-171-01-CCG,Cited by: 38  Impact Factor: 10.822
RSG-05-139-01-GMC,Cited by: 7  Impact Factor: 8.278
RSG-07-156-01-CNE,Cited by: 13  Impact Factor: 7.357,Cited by: 47  Impact Factor: 7.357
RSG-09-075-01-MBC,Cited by: 10  Impact Factor: -
RSG-05-033-01-CSM,Cited by: 89  Impact Factor: 10.822
RSG-02-182-01-MGO,Cited by: 16  Impact Factor: 3.02
#RSG-04-195,Cited by: 127  Impact Factor: 20.767
RSG-08-133-01,Cited by: 0  Impact Factor: -
RSG-08-303-01,Cited by: 151  Impact Factor: 35.209
RSG-10-158-01-LIB,Cited by: 28  Impact Factor: 13.214
RPG-98-333-01-CCE,Cited by: 57  Impact Factor: 5.082
CB-186,Cited by: 65  Impact Factor: 10.822
CB-189,Cited by: 353  Impact Factor: 10.822,Cited by: 146  Impact Factor: 10.822
PF-09-024-01-CCG,Cited by: 5  Impact Factor: 10.015
RPG-99-161-01-CNE,Cited by: 30  Impact Factor: 3.33
PF-02-095-01-CCG,Cited by: 68  Impact Factor: 10.822
RSG0823401GMC,Cited by: 17  Impact Factor: 23.565
RPG-97-026-04-DDC,Cited by: 134  Impact Factor: 10.822
PF-4035,Cited by: 172  Impact Factor: 10.822
RSG-06-102-01-CCE,Cited by: 94  Impact Factor: 5.082
PF-98-149-01,Cited by: 85  Impact Factor: 12.69
RSG-02-147-01,Cited by: 162  Impact Factor: 10.822
RPG-90-013-08-PBP,Cited by: 24  Impact Factor: 5.082
RSG-04-247-01-CDD,Cited by: 8  Impact Factor: 1.776
RSG-08-219-01,Cited by: 26  Impact Factor: 7.357
RPG-97-003-01-BE,Cited by: 114  Impact Factor: 10.822
RSG-04-042-51,Cited by: 53  Impact Factor: 10.822
MRSG-08-018-01-CDD,Cited by: 61  Impact Factor: 5.082
MRSG-12-034-01-CCE,Cited by: 0  Impact Factor: 7.806,Cited by: 10  Impact Factor: 7.806
RPG-97-163-01,Cited by: 110  Impact Factor: 10.822
ROG-06-096-01,Cited by: 43  Impact Factor: 3.33
PF-4444,Cited by: 118  Impact Factor: 10.822
IRG-58-006-44,Cited by: 58  Impact Factor: 2.61
RSG-09-275-01,Cited by: 8  Impact Factor: 6.636
RSG-05-070-01-LIB,Cited by: 35  Impact Factor: 13.214
PF-09-120-01,Cited by: 11  Impact Factor: 1.19,Cited by: 83  Impact Factor: 7.357
PF-07-058-01-GMC,Cited by: 53  Impact Factor: 8.278
RPG-98-288-01-CIM,Cited by: 71  Impact Factor: 13.214
PF-99-018-01-MBC,Cited by: 234  Impact Factor: 8.136
RSG-06-180-01-MBC,Cited by: 1  Impact Factor: -
PF-12-245-01-CCG,Cited by: 40  Impact Factor: 38.597
RGS-09-043-01-DDC,Cited by: 1  Impact Factor: 4.73
IN-122V,Cited by: 213  Impact Factor: 10.822
RSG-08-092-01-CCG,Cited by: 29  Impact Factor: 5.13
RSG-09-076-01-SLU,Cited by: 152  Impact Factor: 24.302
PF-10-239-01-TBG,Cited by: 3  Impact Factor: -
RSG-01-143-01,Cited by: 174  Impact Factor: 10.822
PF-05-225-01-GMC,Cited by: 151  Impact Factor: 38.597
RSG-01-167-01-LIB,Cited by: 106  Impact Factor: 13.214
IRG-95-125-04,Cited by: 158  Impact Factor: 10.822
RSG MGO-105961,Cited by: 18  Impact Factor: 7.357
RSG-01-177-01-MGO,Cited by: 246  Impact Factor: 8.278
RSG-070944-01-CSM,Cited by: 4  Impact Factor: 12.042
MRSG 08-019-01,Cited by: 84  Impact Factor: 10.015
PF-02-121-01,Cited by: 372  Impact Factor: 13.214
RSG GGC 112994,Cited by: 103  Impact Factor: 20.767
RPG-00-237-01-CSM,Cited by: 73  Impact Factor: 10.822
RGS-09-278-01-CSM,Cited by: 6  Impact Factor: -,Cited by: 10  Impact Factor: 10.015,Cited by: 60  Impact Factor: 10.822
RSG-04-191-01,Cited by: 14  Impact Factor: 13.214
PF-04-022-01-CSM,Cited by: 111  Impact Factor: 10.822
CRP-08-229-01,Cited by: 47  Impact Factor: 7.357
RSG-07-040-01,Cited by: 6  Impact Factor: 10.822
PF-02-032-01-CCG,Cited by: 71  Impact Factor: 10.822
MBC-114461,Cited by: 4  Impact Factor: -
CB-80362,Cited by: 126  Impact Factor: 10.822
IM-773,Cited by: 188  Impact Factor: 13.214
RSG-10-059-01-MPC,Cited by: 4  Impact Factor: 2.509
RSG-08-184-01-LIB,Cited by: 6  Impact Factor: 3.637
RSG-07-025-01-CDD,Cited by: 51  Impact Factor: 38.597
RSG0806801,Cited by: 89  Impact Factor: 24.302,Cited by: 89  Impact Factor: 13.214
CRTG-02-245-01-CCE,Cited by: 46  Impact Factor: 2.17
RSG CCG-111381,Cited by: 8  Impact Factor: 7.357
PF-10-053-01-LIB,Cited by: 203  Impact Factor: 13.214
ACS-IRG#103719,Cited by: 11  Impact Factor: 1.41
CB-96,Cited by: 156  Impact Factor: 10.822
CB-97,Cited by: 399  Impact Factor: 10.822,Cited by: 127  Impact Factor: 10.822,Cited by: 444  Impact Factor: 10.822,Cited by: 321  Impact Factor: 10.822
RSG-CSM-116801,Cited by: 2  Impact Factor: -,Cited by: 28  Impact Factor: 7.357
IRG-72-001-32-IRG,Cited by: 76  Impact Factor: 20.767
PF-03-016-01-CSM,Cited by: 42  Impact Factor: 10.822
TURPG-00-286-01,Cited by: 18  Impact Factor: 2.65
RSG-08-307-01-FD,Cited by: 7  Impact Factor: 7.357
PF-05-041-01-DDC,Cited by: 23  Impact Factor: 1.19
IRG #97-152-16-2,Cited by: 134  Impact Factor: 3.393
IRG-78-002-25,Cited by: 73  Impact Factor: 8.278
RSG-09-045-01-DDC,Cited by: 69  Impact Factor: 26.199,Cited by: 48  Impact Factor: 13.214
IRG-78-002-23,Cited by: 64  Impact Factor: 5.87
IRG-78-002-29,Cited by: 2  Impact Factor: 6.636
IM 788,Cited by: 458  Impact Factor: 13.214,Cited by: 74  Impact Factor: 13.214
RSG-09-015-01-CDD,Cited by: 7  Impact Factor: 2.811
RSG-08-303-01-TBE,Cited by: 75  Impact Factor: 6.636
